nama,alamat,tempat_lahir,phone_number,tanggal_lahir,ipk,tanggal_daftar
Unjani Saptono,Gg. Gedebage Selatan No. 9,Pekanbaru,(007) 735-3244,1970-07-12,3.51,2019-04-11
Agnes Simanjuntak,Jalan Cihampelas No. 83,Makassar,+62 (0798) 048 0184,1971-11-14,3.74,2022-09-20
Maria Susanti,Gang Surapati No. 392,Cilegon,+62 (775) 938 5014,1967-11-04,3.57,2020-05-18
Dacin Hassanah,Jl. Cikutra Barat No. 63,Medan,+62 (70) 135 0314,1965-03-31,3.45,2021-03-16
Capa Hastuti,Gg. Gegerkalong Hilir No. 20,Tanjungbalai,+62 (0053) 901-7479,1987-03-15,3.25,2018-06-06
Sutan Laswi Salahudin,Jl. Gardujati No. 89,Samarinda,(0591) 155 2110,1984-01-25,3.34,2019-02-11
Vino Mandasari,Gg. Cempaka No. 22,Palopo,+62-74-761-4381,1991-08-20,3.31,2022-04-26
Ridwan Mayasari,Gang Siliwangi No. 172,Sungai Penuh,+62-0435-989-8783,1985-09-10,3.71,2022-08-01
Indah Nasyiah,Gang Rajiman No. 8,Cimahi,087 211 1244,1969-06-24,3.33,2022-05-12
Gading Budiman,Jl. Jamika No. 13,Cilegon,+62 (0489) 430 3079,1973-09-11,3.25,2022-04-09
Puti Citra Mandasari,Gg. M.T Haryono No. 718,Bontang,(091) 307-5892,1992-10-14,3.34,2021-06-14
Warta Pradana,Jl. KH Amin Jasuta No. 7,Jambi,(048) 432-6226,1990-03-14,3.25,2023-04-24
"Hani Anggraini, M.Farm",Jl. Kiaracondong No. 90,Kupang,(057) 501-8540,1985-05-13,3.42,2018-11-18
"R. Titi Maheswara, S.Kom",Jl. Tebet Barat Dalam No. 9,Sungai Penuh,+62-060-553-3689,1987-12-07,3.25,2019-10-09
Hesti Sitorus,Jalan Dipenogoro No. 201,Singkawang,+62 (54) 145 4343,1994-11-13,3.34,2022-01-22
"Ir. Samiah Purnawati, S.IP",Gg. Raya Ujungberung No. 02,Surakarta,+62 (997) 263 1060,1992-10-23,2.19,2018-09-14
"T. Galiono Prakasa, M.M.",Gang Veteran No. 929,Bandar Lampung,(099) 606-1594,1970-04-25,2.75,2021-11-22
Dr. Ida Jailani,Jl. Soekarno Hatta No. 330,Sorong,+62 (402) 440-7497,1989-12-06,2.25,2019-10-27
"Drs. Wulan Aryani, M.Farm",Gang Erlangga No. 5,Pematangsiantar,+62 (369) 361 5653,1994-09-06,3.31,2019-05-26
Ir. Tania Suartini,Gang Merdeka No. 1,Jayapura,+62 (091) 245-9869,1993-01-09,3.61,2020-02-05
"Malika Rahmawati, M.Ak",Gang Suryakencana No. 30,Jambi,0854554574,1972-08-09,3.0,2019-12-11
Baktiadi Sihombing,Gg. Monginsidi No. 365,Magelang,+62-044-511-6984,1965-07-11,2.83,2021-07-21
"Dr. Michelle Andriani, S.I.Kom",Jl. Ahmad Dahlan No. 82,Magelang,+62 (494) 337 1047,1992-09-24,3.12,2022-07-25
Gangsar Suartini,Gg. Tubagus Ismail No. 633,Dumai,082 405 0609,2002-09-02,3.21,2019-11-23
"Balapati Pranowo, S.T.",Gg. Rungkut Industri No. 5,Tangerang Selatan,+62 (337) 272 1886,1995-10-29,2.41,2022-05-17
Atmaja Kurniawan,Jalan Veteran No. 564,Pontianak,086 353 1678,1973-06-13,3.3,2022-08-15
"R. Diah Winarno, S.H.",Jl. Rungkut Industri No. 6,Kendari,(027) 857 2769,1975-01-01,3.45,2021-10-06
Patricia Sudiati,Gang Bangka Raya No. 2,Batam,+62 (044) 003-2597,1969-07-28,2.81,2021-08-18
Dr. Tami Maryadi,Gg. Sukajadi No. 795,Jambi,(087) 528 6737,1978-11-22,3.65,2021-01-25
"Ir. Mulyono Astuti, M.Farm",Jl. Asia Afrika No. 111,Manado,+62 (029) 421 7979,1987-01-03,3.43,2022-03-18
"Bakda Agustina, M.Kom.",Gg. Rajiman No. 8,Denpasar,+62 (078) 418 9196,1979-05-19,3.59,2020-08-28
Ir. Joko Lestari,Jalan Tebet Barat Dalam No. 601,Medan,(058) 512 0037,1988-12-18,3.39,2020-06-18
Maimunah Maheswara,Gang Laswi No. 8,Ternate,+62 (33) 729-5873,1986-07-15,3.51,2022-09-05
R.A. Olivia Kuswandari,Jalan Jamika No. 8,Semarang,+62 (0306) 217 3770,1978-06-06,3.66,2019-04-15
Maya Safitri,Jl. Cihampelas No. 65,Tebingtinggi,+62-0384-209-3152,1998-03-05,3.27,2019-01-24
Gatot Yulianti,Jalan Pasir Koja No. 2,Sorong,084 545 5380,1966-06-05,3.33,2019-10-29
Cemani Hariyah,Jalan Rajawali Timur No. 86,Lhokseumawe,0899894342,1966-12-25,3.43,2019-02-09
Galak Megantara,Gg. M.H Thamrin No. 224,Surabaya,+62-0607-504-9536,1996-01-14,3.55,2020-06-27
Estiono Utama,Gg. PHH. Mustofa No. 749,Tual,+62-23-062-1779,1970-11-05,3.42,2022-02-12
"Ulva Wacana, S.T.",Jl. M.T Haryono No. 628,Cilegon,(0085) 816 1663,1997-07-08,3.41,2023-04-15
Hj. Dinda Kuswandari,Jl. Ronggowarsito No. 07,Bau-Bau,(0153) 385 3490,1993-11-06,3.51,2019-07-16
Opung Wulandari,Gg. Cikapayang No. 28,Banjar,(0469) 077 6564,1974-12-09,3.23,2021-01-30
Najwa Hutapea,Jalan Kiaracondong No. 2,Meulaboh,+62-12-134-1493,1975-01-31,3.64,2022-10-09
Drs. Cawuk Anggriawan,Jalan Jend. A. Yani No. 78,Bandar Lampung,082 145 2115,1970-12-06,3.5,2023-01-19
"Artanto Astuti, M.Kom.",Jl. Medokan Ayu No. 28,Kupang,(0561) 704-5299,1981-11-27,3.49,2018-11-06
Gina Puspita,Jalan Rumah Sakit No. 9,Samarinda,+62-059-573-2860,1965-10-23,3.37,2021-10-12
R. Bella Damanik,Gg. Pacuan Kuda No. 6,Magelang,(0218) 576-7112,1983-08-14,3.28,2021-06-29
"Wirda Pudjiastuti, S.Sos",Jl. Soekarno Hatta No. 11,Sungai Penuh,+62-0438-598-5655,1995-11-15,3.55,2022-03-06
Raisa Hastuti,Gang Cihampelas No. 64,Tangerang,085 481 8905,1983-06-02,3.64,2023-02-05
Tantri Aryani,Gang Erlangga No. 512,Cimahi,+62 (990) 438-6991,1975-12-25,3.25,2022-02-18
Cawuk Mahendra,Jl. Otto Iskandardinata No. 9,Banjarbaru,(046) 576-2459,1976-11-11,3.28,2022-09-18
Nova Namaga,Gang Jend. Sudirman No. 16,Dumai,+62-655-627-0547,1964-08-16,3.69,2018-06-06
Budi Damanik,Gang Kutisari Selatan No. 21,Mataram,(006) 421-0093,1963-08-06,3.53,2022-06-11
R. Hani Santoso,Jl. Rajawali Barat No. 8,Sibolga,+62 (0789) 893 3649,1999-02-02,3.76,2019-10-05
"Nasab Rahmawati, S.H.",Gang Monginsidi No. 887,Sukabumi,081 056 8456,1986-05-09,3.68,2019-11-21
Waluyo Samosir,Gang Laswi No. 4,Salatiga,+62 (0511) 811-0910,1974-08-28,3.74,2019-10-27
Kania Firgantoro,Gang Cihampelas No. 089,Probolinggo,(063) 764 2473,1964-02-26,3.55,2022-08-21
Sutan Heru Mandasari,Gg. BKR No. 612,Binjai,+62 (033) 963 0193,1973-05-16,3.27,2019-10-23
R.A. Nadia Rahmawati,Jl. Asia Afrika No. 501,Bau-Bau,084 937 3998,1974-01-15,3.36,2022-11-28
Dacin Damanik,Gang PHH. Mustofa No. 003,Sorong,+62-791-608-9360,1966-01-09,3.73,2022-09-05
Yessi Saefullah,Gg. Pacuan Kuda No. 0,Yogyakarta,+62 (852) 598 9428,1973-10-18,3.56,2022-06-25
"Cut Elisa Yuniar, M.Farm",Gg. PHH. Mustofa No. 440,Sibolga,+62 (0587) 090 1413,1992-01-20,3.75,2019-03-10
Vero Uwais,Jl. Pasirkoja No. 05,Pekanbaru,(0077) 026-1764,1990-08-12,3.36,2019-08-18
Vicky Purnawati,Jl. Surapati No. 272,Bitung,(074) 458-3726,1970-05-20,3.4,2019-02-03
Atmaja Puspita,Gang Dipatiukur No. 28,Surabaya,(096) 832-3330,1987-10-16,3.38,2019-03-17
Dacin Prayoga,Gg. Ir. H. Djuanda No. 254,Magelang,+62 (08) 704 4598,1991-06-08,3.47,2018-10-28
Lintang Prayoga,Gg. Siliwangi No. 58,Meulaboh,+62 (74) 872 8375,1969-11-16,3.49,2020-08-08
Suci Siregar,Jl. Pasir Koja No. 8,Kupang,+62 (006) 554 3490,1994-09-17,3.39,2018-10-28
"Yuni Waskita, S.IP",Jl. Surapati No. 559,Palangkaraya,+62 (0529) 649 8833,1998-04-07,3.44,2021-08-07
Tina Fujiati,Jalan Asia Afrika No. 602,Sibolga,+62 (019) 563-8503,1993-01-27,3.66,2018-06-28
"Diah Nainggolan, S.Pt",Gg. Moch. Ramdan No. 4,Tanjungpinang,(0222) 390-5051,1976-03-05,3.26,2022-03-28
Drs. Bakti Hidayanto,Gg. Indragiri No. 01,Malang,085 490 3016,2000-06-02,2.94,2018-10-21
Mulya Narpati,Jl. Kutai No. 5,Sawahlunto,+62 (30) 468-6182,1991-01-29,2.92,2023-03-20
Darijan Rahimah,Jalan H.J Maemunah No. 745,Tangerang,+62 (444) 184-6330,1971-08-26,3.81,2020-05-11
"dr. Jayadi Sihotang, S.Ked",Jalan Rajawali Barat No. 75,Kupang,0860779604,1975-08-16,2.85,2022-06-07
"Hasna Maryati, M.TI.",Gang Bangka Raya No. 740,Mataram,+62-344-737-9487,1997-01-20,2.73,2021-06-28
Shakila Hidayanto,Jalan Ir. H. Djuanda No. 4,Mataram,+62-0321-310-7914,1977-04-07,3.54,2023-04-11
T. Rangga Laksita,Gg. Soekarno Hatta No. 80,Bekasi,+62-0499-856-0615,1994-07-01,3.2,2019-09-29
"Hj. Jelita Kurniawan, S.Kom",Jl. Stasiun Wonokromo No. 77,Palangkaraya,+62-081-181-9216,1979-05-23,3.05,2022-02-07
Fitria Wasita,Gg. Ciwastra No. 0,Padang,(043) 909-2605,2000-03-31,3.18,2023-02-25
Ajiono Hutapea,Gang Joyoboyo No. 92,Prabumulih,+62 (34) 964 9320,1994-08-24,3.45,2021-04-15
Queen Napitupulu,Jalan Yos Sudarso No. 272,Cilegon,+62 (938) 300 5509,1992-11-13,3.11,2019-08-02
T. Prayoga Prasetya,Gang Cihampelas No. 0,Medan,+62 (0805) 142-4096,1993-10-14,3.3,2020-04-16
"R. Hasan Prastuti, S.E.",Jl. Kutai No. 096,Binjai,(066) 556 9814,1994-05-17,3.02,2018-09-14
Sutan Catur Hutagalung,Gg. Veteran No. 23,Bima,+62 (047) 447 3259,1969-12-10,3.52,2020-07-08
Empluk Budiman,Jalan Raya Setiabudhi No. 14,Padang,+62 (49) 740-9776,1965-01-18,3.1,2022-08-04
Wulan Mahendra,Jalan Jayawijaya No. 0,Tanjungbalai,(051) 279-3210,2002-07-04,3.07,2019-10-12
Zulfa Suryono,Jalan Jend. A. Yani No. 43,Jambi,+62-098-580-9046,1963-09-20,3.07,2020-11-14
"Dt. Rangga Siregar, S.H.",Jl. Gardujati No. 79,Palangkaraya,(023) 620 5141,1969-01-24,3.0,2022-01-14
"Najam Mangunsong, S.E.",Gg. H.J Maemunah No. 96,Prabumulih,+62 (48) 888-7138,1966-12-15,3.05,2019-03-29
Danang Astuti,Jl. Rajawali Barat No. 955,Tangerang,(088) 039-5359,1995-09-18,3.28,2019-10-02
Cut Oni Mangunsong,Gang Rajiman No. 58,Gorontalo,(074) 569 6243,1977-02-05,3.09,2020-03-04
Mitra Mustofa,Gang Sukabumi No. 856,Madiun,(0990) 547 4201,1966-04-23,3.39,2022-02-04
R.M. Hamzah Anggraini,Jl. Monginsidi No. 72,Sorong,+62-68-553-5526,1991-10-25,3.14,2021-09-25
Zizi Salahudin,Jalan Joyoboyo No. 74,Langsa,+62 (049) 249-7888,1965-01-14,3.12,2020-04-08
Vanesa Mulyani,Jl. Asia Afrika No. 27,Jayapura,+62-0855-306-7268,1997-11-14,3.45,2021-05-12
"Galiono Yuniar, M.Pd",Gang Rajiman No. 15,Kota Administrasi Jakarta Timur,+62-006-793-2974,1976-09-02,3.25,2022-04-11
"R. Sabrina Suwarno, S.T.",Gg. Sentot Alibasa No. 73,Ambon,0830145722,1974-10-03,3.28,2019-10-12
Ajimat Hutagalung,Gg. Sadang Serang No. 3,Salatiga,(094) 545-3613,1964-11-01,3.05,2021-12-09
Galih Gunarto,Gang Peta No. 36,Palembang,0824370563,1977-08-17,3.11,2020-04-15
Hani Prayoga,Jalan Waringin No. 011,Kota Administrasi Jakarta Barat,+62 (0348) 773 8226,1966-08-02,3.28,2023-02-01
"Tgk. Rizki Maryadi, S.Kom",Gg. Sentot Alibasa No. 93,Bima,+62-073-062-0121,1987-04-04,3.41,2021-07-24
Gangsar Lailasari,Jl. Wonoayu No. 34,Mataram,+62 (0256) 188-0710,1977-07-01,3.45,2020-04-24
Ira Maryadi,Gang Wonoayu No. 07,Bau-Bau,+62 (68) 225 8502,1972-03-30,3.14,2021-08-13
Ir. Irnanto Ardianto,Jalan Raya Setiabudhi No. 1,Padang,+62 (0942) 785 7903,1974-04-15,3.22,2020-05-01
Zizi Samosir,Jalan Waringin No. 70,Sibolga,(048) 772-2663,1985-03-13,2.91,2022-05-08
Salimah Waluyo,Gang Kiaracondong No. 19,Batu,+62-0981-966-8036,1974-07-25,3.3,2018-07-23
Limar Kuswoyo,Jalan Ciumbuleuit No. 8,Bekasi,(057) 377-3905,1975-08-23,3.34,2021-01-31
Ira Wasita,Gg. Ronggowarsito No. 39,Bau-Bau,0839998549,1964-03-10,3.08,2020-09-01
Aditya Riyanti,Gang Monginsidi No. 95,Tangerang,+62 (584) 782-0877,2000-06-11,3.5,2019-05-29
Atmaja Namaga,Jl. Jend. Sudirman No. 605,Bontang,+62 (029) 304 7188,1974-09-29,3.38,2019-09-16
drg. Martana Safitri,Jl. Moch. Ramdan No. 5,Pematangsiantar,+62 (70) 568-6356,1998-07-04,3.39,2018-09-22
Karen Suartini,Gg. Wonoayu No. 787,Bengkulu,+62-879-492-9283,1997-05-22,3.59,2021-01-20
"Dr. Puput Zulaika, S.Kom",Gang Raya Ujungberung No. 82,Pematangsiantar,+62 (0107) 374 4327,1971-08-31,3.57,2019-04-10
"Tgk. Putri Thamrin, S.H.",Gang Pacuan Kuda No. 6,Bontang,+62 (073) 475-8571,1999-01-04,3.61,2018-06-04
"Marsito Kusmawati, S.E.",Jl. Siliwangi No. 331,Sawahlunto,(056) 431-0670,1986-07-11,3.64,2022-06-16
Cahya Suartini,Gg. W.R. Supratman No. 56,Surabaya,+62-273-128-0370,1974-07-02,3.39,2021-07-12
Luhung Marbun,Gg. Cikapayang No. 119,Pematangsiantar,(074) 259 1961,1965-10-22,3.66,2021-10-03
Margana Hidayat,Gang Ciwastra No. 1,Sukabumi,+62-0292-258-8520,1987-12-08,3.61,2022-09-08
"drg. Clara Hasanah, M.M.",Jalan HOS. Cokroaminoto No. 60,Salatiga,+62-0904-029-6875,1979-10-14,3.59,2022-01-11
Ir. Atma Utami,Jl. Pelajar Pejuang No. 0,Tarakan,+62 (11) 721 9261,1975-06-12,3.57,2021-02-14
KH. Bala Mayasari,Gg. Suryakencana No. 1,Kotamobagu,(036) 801-4904,1972-05-05,3.52,2018-08-03
dr. Zulfa Nasyidah,Jl. Ir. H. Djuanda No. 6,Subulussalam,085 135 6941,1989-07-04,3.59,2018-10-24
Wawan Kusmawati,Gg. Cikutra Timur No. 4,Singkawang,+62 (0071) 488-6985,1974-05-19,3.66,2022-03-13
Teddy Prabowo,Jalan Jend. Sudirman No. 631,Palu,+62 (59) 064 2787,1968-04-07,3.5,2021-10-26
"Dr. Wasis Mansur, S.I.Kom",Jl. Lembong No. 307,Sawahlunto,+62 (28) 677 9418,1995-06-15,3.7,2022-09-07
Karna Sihombing,Gg. Siliwangi No. 913,Surakarta,(051) 370-0445,1994-03-28,3.68,2018-07-07
Eko Yulianti,Gg. Sukabumi No. 557,Sukabumi,(0755) 079-4158,1973-05-28,3.66,2019-08-02
drg. Sadina Mandasari,Jl. Veteran No. 7,Singkawang,(0910) 872-5532,2001-08-01,3.61,2021-07-09
Pandu Agustina,Jl. Gedebage Selatan No. 507,Cirebon,(056) 631-0168,1995-06-13,3.68,2021-07-13
Karta Zulkarnain,Jl. Rajiman No. 803,Tegal,+62 (20) 831-2919,1974-05-18,3.75,2023-01-31
Puti Kiandra Latupono,Gg. Lembong No. 0,Batam,(0007) 632-7240,1969-06-01,3.61,2019-05-17
Bagiya Suartini,Jalan Kebonjati No. 91,Bima,(013) 279-9964,1994-10-07,3.41,2020-10-28
Ophelia Yuniar,Gg. Pasir Koja No. 0,Cilegon,(071) 486-1308,1996-10-26,3.66,2021-03-04
"Ir. Karimah Latupono, S.Psi",Jl. Cihampelas No. 64,Salatiga,0846423745,1994-01-13,3.73,2022-04-29
Ir. Jumadi Situmorang,Jl. HOS. Cokroaminoto No. 9,Bitung,0836590156,1985-02-16,3.66,2020-09-29
Timbul Laksmiwati,Gg. Jakarta No. 4,Tangerang Selatan,+62 (59) 469-6122,1987-07-10,3.68,2020-04-28
Manah Uyainah,Gang Pacuan Kuda No. 8,Sawahlunto,+62 (97) 683-7926,1976-04-06,3.34,2022-11-08
"Anita Prasasta, S.Ked",Gang Peta No. 60,Banjarbaru,(0771) 476 3461,1984-10-11,3.43,2022-10-10
Samsul Kuswandari,Gang Rajiman No. 51,Singkawang,+62-0408-135-4716,1963-09-01,3.08,2019-03-03
Wadi Najmudin,Gang Rumah Sakit No. 7,Ternate,0862676413,1996-12-17,3.8,2023-02-10
Hj. Puput Puspita,Gg. Abdul Muis No. 79,Kota Administrasi Jakarta Pusat,0851493063,2002-10-11,3.59,2021-07-24
dr. Yono Pudjiastuti,Jl. Medokan Ayu No. 524,Bogor,+62 (097) 400-5788,1988-11-04,3.55,2018-12-16
Faizah Hardiansyah,Jalan Cikutra Barat No. 310,Dumai,082 883 7759,2003-04-09,3.14,2020-06-03
R. Balidin Astuti,Gang Setiabudhi No. 72,Jambi,(097) 599 8624,1990-12-31,3.59,2022-07-17
"Zalindra Prakasa, M.Pd",Jl. Tubagus Ismail No. 2,Tasikmalaya,+62-381-798-8167,1990-12-21,3.3,2020-09-30
Farah Mulyani,Gang Raya Ujungberung No. 28,Payakumbuh,+62 (058) 043-4257,1997-06-03,3.3,2020-11-27
Ir. Melinda Uyainah,Gg. Rungkut Industri No. 377,Padangpanjang,0808407039,1981-09-25,3.2,2021-10-05
Hendri Kusmawati,Jalan Ciwastra No. 75,Jayapura,+62 (410) 909-3076,1965-12-01,3.59,2022-05-31
Ella Hakim,Gg. KH Amin Jasuta No. 3,Madiun,(061) 799-5355,1979-12-17,3.2,2022-07-20
Vera Riyanti,Jl. Peta No. 42,Kota Administrasi Jakarta Pusat,+62 (703) 063 6642,1977-03-28,3.43,2022-11-11
"Rachel Mulyani, M.Kom.",Jalan H.J Maemunah No. 412,Lhokseumawe,(0428) 656 3110,1969-08-04,3.36,2022-02-22
Cager Salahudin,Gang Soekarno Hatta No. 131,Dumai,0880651484,1992-05-08,3.14,2021-12-12
Talia Rahayu,Gg. Pasir Koja No. 801,Tangerang,+62 (123) 187-7996,1986-09-22,3.34,2020-08-31
"Bahuwirya Yuliarti, S.Ked",Jl. Peta No. 60,Sawahlunto,+62 (36) 091-7619,1988-02-21,3.15,2020-09-29
Dwi Rahmawati,Gang Indragiri No. 03,Metro,+62 (0717) 681 4463,1986-09-21,3.25,2022-06-10
Carub Lailasari,Gg. Yos Sudarso No. 25,Sungai Penuh,+62 (781) 230-6621,1968-11-27,2.91,2021-01-31
Bajragin Gunawan,Jl. Gedebage Selatan No. 2,Tanjungpinang,+62-0648-433-6838,1998-01-11,3.27,2018-11-21
Rusman Pertiwi,Jl. Medokan Ayu No. 493,Palembang,+62 (139) 150 2048,1996-12-25,3.57,2021-04-02
"Warji Mandasari, S.T.",Jalan H.J Maemunah No. 3,Solok,+62 (95) 767 6458,1995-03-12,3.23,2019-09-29
Bala Wibisono,Jalan Kiaracondong No. 39,Magelang,+62 (822) 632-6759,1993-07-28,3.64,2020-06-05
Wasis Hassanah,Jl. Cikutra Timur No. 1,Denpasar,(0819) 784 0215,1987-09-06,3.64,2023-03-13
Unggul Budiman,Gang Sukajadi No. 9,Banjarmasin,+62 (0391) 128 5384,2001-02-21,3.66,2022-04-01
Vivi Dabukke,Jalan Kapten Muslihat No. 73,Pontianak,+62 (0797) 021 2598,1983-04-18,3.55,2018-08-04
Drs. Rina Siregar,Gg. Moch. Ramdan No. 5,Tebingtinggi,+62 (282) 814 5748,1977-06-27,3.48,2021-10-24
"Wadi Purnawati, S.E.I",Jalan Rungkut Industri No. 30,Yogyakarta,(053) 495 2458,1964-07-02,3.58,2018-05-23
Bagus Gunawan,Gang Peta No. 284,Palu,+62 (234) 110-4685,1969-12-03,3.66,2022-07-09
Tgk. Kawaya Sirait,Gang Peta No. 192,Depok,(0122) 179 7115,1972-04-11,3.68,2020-09-21
Maryadi Purnawati,Jl. Merdeka No. 70,Tarakan,+62-48-533-4039,1966-01-26,3.75,2021-07-30
"H. Soleh Hidayat, M.Kom.",Gang Gegerkalong Hilir No. 997,Tangerang Selatan,089 281 8867,1970-08-22,3.24,2019-03-03
Novi Megantara,Gg. Lembong No. 1,Palu,+62-0849-990-1095,1983-11-13,3.73,2020-05-19
Sabrina Saefullah,Jl. Siliwangi No. 72,Kota Administrasi Jakarta Barat,+62-0641-819-5304,1997-02-28,3.68,2019-09-14
"Siska Gunawan, S.Pt",Jl. Ahmad Dahlan No. 241,Serang,+62-0280-312-3196,1973-04-20,3.89,2023-05-06
Kamal Hartati,Gg. Pacuan Kuda No. 5,Pematangsiantar,080 814 9944,1989-10-07,3.7,2021-05-24
Aswani Siregar,Gang Cihampelas No. 4,Pasuruan,+62-065-420-6833,1975-12-06,3.73,2021-12-19
R. Warsita Mahendra,Gang Pasirkoja No. 2,Tanjungbalai,+62 (022) 145-0665,1978-11-01,3.57,2022-02-13
R.M. Gantar Winarno,Jl. Pasir Koja No. 788,Makassar,(014) 088 1136,2001-09-26,3.43,2018-11-19
Ajiono Hidayat,Jl. Ir. H. Djuanda No. 11,Padangpanjang,(0779) 674 0675,1965-12-07,3.67,2018-09-24
Drs. Jumari Marpaung,Jl. Tebet Barat Dalam No. 1,Payakumbuh,+62 (079) 031-1285,1978-04-19,3.5,2019-07-06
Ir. Baktiadi Handayani,Jalan Indragiri No. 0,Subulussalam,(0022) 093-1342,1988-10-26,3.34,2019-12-26
"Tgk. Gasti Sirait, M.Ak",Jalan Cikapayang No. 56,Balikpapan,+62 (0612) 791 1485,1985-03-27,3.39,2019-11-23
Cinthia Lazuardi,Gang S. Parman No. 57,Banjarmasin,+62 (0782) 195 5128,1978-04-05,3.5,2018-10-25
"dr. Cornelia Permata, S.Kom",Gang Ahmad Yani No. 6,Padangpanjang,+62 (005) 814 1387,1965-03-19,3.8,2022-05-05
Prayitna Agustina,Gg. Jend. A. Yani No. 384,Banjarmasin,+62 (080) 851 4314,1999-02-03,3.32,2021-11-17
Ellis Laksita,Jl. Raya Setiabudhi No. 18,Bitung,+62-0836-903-7715,1968-10-13,3.48,2018-10-30
"Hafshah Wijaya, S.I.Kom",Jl. Raya Ujungberung No. 21,Kendari,+62 (24) 412 2738,1971-05-03,3.47,2018-11-15
Cemplunk Mulyani,Gang Ciumbuleuit No. 111,Malang,+62-039-968-7701,1986-09-21,3.46,2022-03-31
Siska Waskita,Jl. PHH. Mustofa No. 9,Sibolga,(0608) 976-1302,1996-05-16,3.45,2021-04-26
Daruna Situmorang,Gg. Monginsidi No. 67,Prabumulih,+62 (098) 988 1329,1965-08-08,3.52,2018-09-09
"Daniswara Januar, S.Pd",Jalan Ciwastra No. 677,Parepare,+62 (0330) 767-1745,1970-02-10,3.42,2018-10-11
"Suci Purwanti, M.Ak",Gg. Stasiun Wonokromo No. 191,Sungai Penuh,+62 (57) 981-6424,1999-03-17,3.42,2019-11-15
Okto Megantara,Gg. Pasteur No. 367,Payakumbuh,(0394) 327-1450,1968-06-11,3.4,2019-03-22
"Vega Nainggolan, S.Kom",Jl. Jend. Sudirman No. 1,Mataram,+62 (031) 598-5442,1979-11-21,3.47,2018-05-25
Asmuni Hutasoit,Jalan Soekarno Hatta No. 36,Sukabumi,+62-268-232-4818,1969-04-22,3.38,2019-10-11
"Kunthara Oktaviani, S.Pt",Gg. K.H. Wahid Hasyim No. 17,Batam,+62 (72) 420 4063,1987-07-21,3.56,2020-04-13
Liman Rajata,Gang Pasirkoja No. 350,Semarang,088 861 3032,1975-08-19,3.33,2023-03-01
"Akarsana Riyanti, M.TI.",Jl. Astana Anyar No. 491,Sungai Penuh,(002) 808-6347,2003-03-22,3.36,2022-06-07
Kezia Wulandari,Gang Tubagus Ismail No. 538,Pematangsiantar,+62-415-949-9301,1982-10-18,3.47,2018-10-23
Okto Pratiwi,Jl. Dipenogoro No. 584,Sorong,(0650) 226-5397,2002-07-11,3.43,2022-03-06
Gatra Riyanti,Jl. PHH. Mustofa No. 035,Bengkulu,+62 (018) 027 5421,1987-02-08,3.54,2020-04-28
Unjani Pudjiastuti,Gg. Gardujati No. 52,Pangkalpinang,+62-61-710-1553,1993-07-16,3.38,2022-06-03
"drg. Warsa Prastuti, M.Ak",Jalan Siliwangi No. 828,Magelang,(0214) 635-7878,1979-09-19,3.45,2019-09-15
"Ana Nugroho, M.M.",Jalan Dipatiukur No. 81,Singkawang,+62 (030) 027-6984,1992-06-06,3.48,2022-07-07
Zizi Haryanto,Jalan PHH. Mustofa No. 617,Makassar,(0520) 813-6631,2003-01-27,3.5,2020-04-05
Dinda Lestari,Jalan M.H Thamrin No. 9,Samarinda,(0126) 055 6017,1997-06-03,3.54,2020-01-22
Wakiman Prasetya,Jl. Stasiun Wonokromo No. 7,Pasuruan,+62 (0622) 138-6445,1974-08-20,3.46,2023-02-18
Karja Hidayat,Gg. Sentot Alibasa No. 08,Tangerang,(0365) 458-0339,1983-09-12,3.52,2022-07-20
Pandu Firgantoro,Jalan Joyoboyo No. 2,Tarakan,(0305) 096 4527,1970-05-14,3.52,2021-05-10
Salwa Putra,Jl. Kendalsari No. 0,Banda Aceh,+62 (517) 238-1483,1991-12-09,3.47,2021-12-12
Jumadi Waskita,Jalan BKR No. 801,Palembang,(0574) 531 1707,1979-01-04,3.58,2021-08-15
"Legawa Laksmiwati, M.Kom.",Jl. Indragiri No. 22,Padang,+62 (0865) 679-1125,1976-02-06,3.43,2020-08-10
Jabal Waluyo,Gang Laswi No. 161,Bogor,(014) 178-7573,1967-03-06,3.48,2021-12-30
"Cut Zizi Prabowo, S.Psi",Jl. PHH. Mustofa No. 430,Bandar Lampung,0814292298,1969-02-17,3.46,2018-06-30
Sutan Hasim Kuswandari,Gang M.H Thamrin No. 5,Ambon,+62-0605-787-0335,1966-05-15,3.52,2023-02-06
"Warsa Sihombing, S.H.",Jalan Sukajadi No. 17,Tebingtinggi,+62 (0873) 462 3772,1980-04-02,3.48,2020-06-01
Wakiman Wijaya,Gg. Pacuan Kuda No. 629,Tomohon,+62-39-483-2043,1993-02-09,3.48,2021-12-10
Ika Yolanda,Gg. Jamika No. 89,Gorontalo,+62-22-852-2307,1975-06-01,3.45,2018-07-17
Betania Manullang,Jl. Cikapayang No. 6,Semarang,(0150) 934 5984,1989-05-27,3.44,2019-03-22
"Dt. Jaeman Yuniar, M.Pd",Jalan Suryakencana No. 26,Madiun,+62-0988-375-4530,1996-05-18,3.46,2022-07-15
Patricia Najmudin,Gg. Merdeka No. 09,Prabumulih,+62-089-629-3888,2000-07-06,3.55,2020-01-13
